City|County,2014 Estimate,2010 Census,2000 Census,ID,SOURCE
Afton|Lincoln,"<td>1,968</td>","<td>1,911</td>","<td>1,818</td>",12,POP
Albin|Laramie,<td>185</td>,<td>181</td>,<td>120</td>,13,POP
Alpine|Lincoln,<td>845</td>,<td>828</td>,<td>550</td>,14,POP
Baggs|Carbon,<td>439</td>,<td>440</td>,<td>348</td>,15,POP
Bairoil|Sweetwater,<td>107</td>,<td>106</td>,<td>97</td>,16,POP
Bar Nunn|Natrona,"<td>2,735</td>","<td>2,213</td>",<td>936</td>,17,POP
Basin ?|Big Horn,"<td>1,312</td>","<td>1,285<sup id=""cite_ref-4"" class=""reference""><a href=""#cite_note-4"">[4]</a></sup></td>","<td>1,238</td>",18,POP
Bear River|Uinta,<td>521</td>,<td>518</td>,<td>-</td>,19,POP
Big Piney|Sublette,<td>538</td>,<td>552</td>,<td>408</td>,20,POP
Buffalo ?|Johnson,"<td>4,615</td>","<td>4,585</td>","<td>3,900</td>",21,POP
Burlington|Big Horn,<td>332</td>,<td>288</td>,<td>250</td>,22,POP
Burns|Laramie,<td>305</td>,<td>301</td>,<td>285</td>,23,POP
Byron|Big Horn,<td>609</td>,<td>593</td>,<td>557</td>,24,POP
Casper ?|Natrona,"<td>40,086</td>","<td>35,316</td>","<td>32,644</td>",25,POP
Cheyenne ??|Laramie,"<td>62,845</td>","<td>59,466</td>","<td>53,011</td>",26,POP
Chugwater|Platte,<td>216</td>,<td>212</td>,<td>244</td>,27,POP
Clearmont|Sheridan,<td>142</td>,<td>142</td>,<td>115</td>,28,POP
Cody ?|Park,"<td>9,740</td>","<td>9,520</td>","<td>8,835</td>",29,POP
Cokeville|Lincoln,<td>542</td>,<td>535</td>,<td>506</td>,30,POP
Cowley|Big Horn,<td>718</td>,<td>655</td>,<td>560</td>,31,POP
Dayton|Sheridan,<td>794</td>,<td>757</td>,<td>678</td>,32,POP
Deaver|Big Horn,<td>184</td>,<td>178</td>,<td>177</td>,33,POP
Diamondville|Lincoln,<td>740</td>,<td>737</td>,<td>716</td>,34,POP
Dixon|Carbon,<td>97</td>,<td>97</td>,<td>79</td>,35,POP
Douglas ?|Converse,"<td>6,423</td>","<td>6,120</td>","<td>5,288</td>",36,POP
Dubois|Fremont,<td>998</td>,<td>971</td>,<td>962</td>,37,POP
East Thermopolis|Hot Springs,<td>252</td>,<td>254</td>,<td>274</td>,38,POP
Edgerton|Natrona,<td>199</td>,<td>195</td>,<td>169</td>,39,POP
Elk Mountain|Carbon,<td>196</td>,<td>191</td>,<td>192</td>,40,POP
Evanston ?|Uinta,"<td>12,190</td>","<td>12,359</td>","<td>11,507</td>",41,POP
Evansville|Natrona,"<td>2,831</td>","<td>2,544</td>","<td>2,255</td>",42,POP
Fort Laramie|Goshen,<td>227</td>,<td>230</td>,<td>243</td>,43,POP
Frannie|Park,<td>162</td>,<td>157</td>,<td>209</td>,44,POP
Gillette ?|Campbell,"<td>31,971</td>","<td>29,087</td>","<td>19,646</td>",45,POP
Glendo|Platte,<td>201</td>,<td>205</td>,<td>229</td>,46,POP
Glenrock|Converse,"<td>2,583</td>","<td>2,576</td>","<td>2,231</td>",47,POP
Grand Encampment|Carbon,<td>443</td>,<td>450</td>,<td>443</td>,48,POP
Granger|Sweetwater,<td>139</td>,<td>139</td>,<td>146</td>,49,POP
Green River ?|Sweetwater,"<td>12,630</td>","<td>12,515</td>","<td>11,808</td>",50,POP
Greybull|Big Horn,"<td>1,868</td>","<td>1,847</td>","<td>1,815</td>",51,POP
Guernsey|Platte,"<td>1,193</td>","<td>1,147</td>","<td>1,147</td>",52,POP
Hanna|Carbon,<td>831</td>,<td>841</td>,<td>873</td>,53,POP
Hartville|Platte,<td>62</td>,<td>62</td>,<td>76</td>,54,POP
Hudson|Fremont,<td>462</td>,<td>458</td>,<td>407</td>,55,POP
Hulett|Crook,<td>400</td>,<td>383</td>,<td>408</td>,56,POP
Jackson ?|Teton,"<td>10,449</td>","<td>9,577</td>","<td>8,647</td>",57,POP
Kaycee|Johnson,<td>260</td>,<td>263</td>,<td>249</td>,58,POP
Kemmerer ?|Lincoln,"<td>2,732</td>","<td>2,656</td>","<td>2,651</td>",59,POP
Kirby|Hot Springs,<td>93</td>,<td>92</td>,<td>57</td>,60,POP
La Barge|Lincoln,<td>553</td>,<td>551</td>,<td>431</td>,61,POP
La Grange|Goshen,<td>455</td>,<td>448</td>,<td>332</td>,62,POP
Lander ?|Fremont,"<td>7,642</td>","<td>7,487</td>","<td>6,867</td>",63,POP
Laramie ?|Albany,"<td>32,081</td>","<td>30,816</td>","<td>27,204</td>",64,POP
Lingle|Goshen,<td>467</td>,<td>468</td>,<td>510</td>,65,POP
Lost Springs|Converse,<td>4</td>,<td>4</td>,<td>1</td>,66,POP
Lovell|Big Horn,"<td>2,404</td>","<td>2,360</td>","<td>2,281</td>",67,POP
Lusk ?|Niobrara,"<td>1,578</td>","<td>1,567</td>","<td>1,447</td>",68,POP
Lyman|Uinta,"<td>2,077</td>","<td>2,115</td>","<td>1,938</td>",69,POP
Manderson|Big Horn,<td>117</td>,<td>114</td>,<td>104</td>,70,POP
Manville|Niobrara,<td>93</td>,<td>95</td>,<td>101</td>,71,POP
Marbleton|Sublette,"<td>1,114</td>","<td>1,094</td>",<td>720</td>,72,POP
Medicine Bow|Carbon,<td>277</td>,<td>284</td>,<td>274</td>,73,POP
Meeteetse|Park,<td>327</td>,<td>327</td>,<td>351</td>,74,POP
Midwest|Natrona,<td>412</td>,<td>404</td>,<td>408</td>,75,POP
Mills|Natrona,"<td>3,690</td>","<td>3,461</td>","<td>2,591</td>",76,POP
Moorcroft|Crook,"<td>1,036</td>","<td>1,009</td>",<td>807</td>,77,POP
Mountain View|Uinta,"<td>1,304</td>","<td>1,286</td>","<td>1,153</td>",78,POP
Newcastle ?|Weston,"<td>3,513</td>","<td>3,532</td>","<td>3,065</td>",79,POP
Opal|Lincoln,<td>99</td>,<td>96</td>,<td>102</td>,80,POP
Pavillion|Fremont,<td>240</td>,<td>231</td>,<td>165</td>,81,POP
Pine Bluffs|Laramie,"<td>1,146</td>","<td>1,129</td>","<td>1,153</td>",82,POP
Pine Haven|Crook,<td>498</td>,<td>490</td>,<td>222</td>,83,POP
Pinedale ?|Sublette,"<td>1,958</td>","<td>2,030</td>","<td>1,412</td>",84,POP
Powell|Park,"<td>6,407</td>","<td>6,314</td>","<td>5,373</td>",85,POP
Ranchester|Sheridan,<td>943</td>,<td>855</td>,<td>701</td>,86,POP
Rawlins ?|Carbon,"<td>9,227</td>","<td>9,259</td>","<td>8,538</td>",87,POP
Riverside|Carbon,<td>53</td>,<td>52</td>,<td>59</td>,88,POP
Riverton|Fremont,"<td>10,953</td>","<td>10,615</td>","<td>9,310</td>",89,POP
Rock River|Albany,<td>245</td>,<td>245</td>,<td>235</td>,90,POP
Rock  Springs|Sweetwater,"<td>24,045</td>","<td>23,036</td>","<td>18,708</td>",91,POP
Rolling Hills|Converse,<td>439</td>,<td>440</td>,<td>449</td>,92,POP
Saratoga|Carbon,"<td>1,692</td>","<td>1,690</td>","<td>1,726</td>",93,POP
Sheridan ?|Sheridan,"<td>17,916</td>","<td>17,444</td>","<td>15,804</td>",94,POP
Shoshoni|Fremont,<td>655</td>,<td>649</td>,<td>635</td>,95,POP
Sinclair|Carbon,<td>424</td>,<td>433</td>,<td>423</td>,96,POP
Star Valley Ranch|Lincoln,"<td>1,541</td>","<td>1,503</td>",<td>776</td>,97,POP
Sundance ?|Crook,"<td>1,239</td>","<td>1,182</td>","<td>1,161</td>",98,POP
Superior|Sweetwater,<td>332</td>,<td>336</td>,<td>244</td>,99,POP
Ten Sleep|Washakie,<td>253</td>,<td>260</td>,<td>304</td>,100,POP
Thayne|Lincoln,<td>364</td>,"<td>366<sup id=""cite_ref-5"" class=""reference""><a href=""#cite_note-5"">[5]</a></sup></td>",<td>341</td>,101,POP
Thermopolis ?|Hot Springs,"<td>3,020</td>","<td>3,009</td>","<td>3,172</td>",102,POP
Torrington ?|Goshen,"<td>6,736</td>","<td>6,501</td>","<td>5,776</td>",103,POP
Upton|Weston,"<td>1,104</td>","<td>1,100</td>",<td>872</td>,104,POP
Van Tassell|Niobrara,<td>15</td>,<td>15</td>,<td>18</td>,105,POP
Wamsutter|Sweetwater,<td>503</td>,<td>451</td>,<td>261</td>,106,POP
Wheatland ?|Platte,"<td>3,659</td>","<td>3,627</td>","<td>3,548</td>",107,POP
Worland ?|Washakie,"<td>5,366</td>","<td>5,487</td>","<td>5,250</td>",108,POP
Wright|Campbell,"<td>1,847</td>","<td>1,807</td>","<td>1,347</td>",109,POP
Yoder|Goshen,<td>161</td>,<td>151</td>,<td>169</td>,110,POP
,"<td colspan=""2""></td>","<td class=""navbox-abovebelow"" colspan=""2"">","<td colspan=""2""></td>",111,POP
,"<td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">","<td colspan=""2""></td>","<td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",112,POP
,"<td colspan=""2""></td>","<td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">","<td style=""padding:2px"">",113,POP
,"<td colspan=""2""></td>","<td class=""navbox-list navbox-even hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px;background:transparent;"">","<td colspan=""2""></td>",114,POP
